FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
SF107A,28,CDD_MotRplCoggCmd_MotCtrl.c,MotRplCoggCmdPer1,147,I,""
SF107A,61,CDD_MotRplCoggCmd.c,MotRplCoggCmdInit1,208-221,I,""
SF107A,27,CDD_MotRplCoggCmd_MotCtrl.c,MotRplCoggCmdPer1,100,I,""
SF107A,48,CDD_MotRplCoggCmd_MotCtrl.c,MotRplCoggCmdPer1,"120,124",I,""
SF107A,46,CDD_MotRplCoggCmd_MotCtrl.c,MotRplCoggCmdPer1,97,I,""
SF107A,47,CDD_MotRplCoggCmd_MotCtrl.c,MotRplCoggCmdPer1,165,I,""
SF107A,44,CDD_MotRplCoggCmd_MotCtrl.c,MotRplCoggCmdPer1,106,I,""
SF107A,45,CDD_MotRplCoggCmd_MotCtrl.c,MotRplCoggCmdPer1,99,I,""
SF107A,42,CDD_MotRplCoggCmd_MotCtrl.c,MotRplCoggCmdPer1,105,I,""
SF107A,43,CDD_MotRplCoggCmd_MotCtrl.c,MotRplCoggCmdPer1,98,I,""
SF107A,40,CDD_MotRplCoggCmd_MotCtrl.c,MotRplCoggCmdPer1,103,I,""
SF107A,41,CDD_MotRplCoggCmd_MotCtrl.c,MotRplCoggCmdPer1,104,I,""
SF107A,39,CDD_MotRplCoggCmd_MotCtrl.c,MotRplCoggCmdPer1,101,I,""
SF107A,38,CDD_MotRplCoggCmd_MotCtrl.c,MotRplCoggCmdPer1,102,I,""
SF107A,59,CDD_MotRplCoggCmd_MotCtrl.c,MotRplCoggCmdPer1,145,I,""
SF107A,33,CDD_MotRplCoggCmd.c,GetMotCoggCmdPrm_Oper,167,I,""
SF107A,32,CDD_MotRplCoggCmd.c,SetMotCoggCmdPrm_Oper,271,I,""
SF107A,57,CDD_MotRplCoggCmd_MotCtrl.c,MotRplCoggCmdPer1,150-160,I,""
SF107A,56,CDD_MotRplCoggCmd_MotCtrl.c,MotRplCoggCmdPer1,137,I,""
SF107A,51,CDD_MotRplCoggCmd_MotCtrl.c,MotRplCoggCmdPer1,113-116,I,""
SF107A,50,CDD_MotRplCoggCmd_MotCtrl.c,MotRplCoggCmdPer1,"120,124,132",I,""
SF107A,53,CDD_MotRplCoggCmd_MotCtrl.c,MotRplCoggCmdPer1,150-160,I,""
SF107A,55,CDD_MotRplCoggCmd_MotCtrl.c,MotRplCoggCmdPer1,150-160,I,""
SF107A,54,CDD_MotRplCoggCmd_MotCtrl.c,MotRplCoggCmdPer1,150-160,I,""